t,kernel_dim,logical_dim,rank
0.000000,254,2,2
0.010101,252,4,4
0.020202,252,4,4
0.030303,252,4,4
0.040404,252,4,4
0.050505,252,4,4
0.060606,252,4,4
0.070707,252,4,4
0.080808,252,4,4
0.090909,252,4,4
0.101010,252,4,4
0.111111,252,4,4
0.121212,252,4,4
0.131313,252,4,4
0.141414,252,4,4
0.151515,252,4,4
0.161616,252,4,4
0.171717,252,4,4
0.181818,252,4,4
0.191919,252,4,4
0.202020,252,4,4
0.212121,252,4,4
0.222222,252,4,4
0.232323,252,4,4
0.242424,252,4,4
0.252525,252,4,4
0.262626,252,4,4
0.272727,252,4,4
0.282828,252,4,4
0.292929,252,4,4
0.303030,252,4,4
0.313131,252,4,4
0.323232,252,4,4
0.333333,252,4,4
0.343434,252,4,4
0.353535,252,4,4
0.363636,252,4,4
0.373737,252,4,4
0.383838,252,4,4
0.393939,252,4,4
0.404040,252,4,4
0.414141,252,4,4
0.424242,252,4,4
0.434343,252,4,4
0.444444,252,4,4
0.454545,252,4,4
0.464646,252,4,4
0.474747,252,4,4
0.484848,252,4,4
0.494949,252,4,4
0.505051,252,4,4
0.515152,252,4,4
0.525253,252,4,4
0.535354,252,4,4
0.545455,252,4,4
0.555556,252,4,4
0.565657,252,4,4
0.575758,252,4,4
0.585859,252,4,4
0.595960,252,4,4
0.606061,252,4,4
0.616162,252,4,4
0.626263,252,4,4
0.636364,252,4,4
0.646465,252,4,4
0.656566,252,4,4
0.666667,252,4,4
0.676768,252,4,4
0.686869,252,4,4
0.696970,252,4,4
0.707071,252,4,4
0.717172,252,4,4
0.727273,252,4,4
0.737374,252,4,4
0.747475,252,4,4
0.757576,252,4,4
0.767677,252,4,4
0.777778,252,4,4
0.787879,252,4,4
0.797980,252,4,4
0.808081,252,4,4
0.818182,252,4,4
0.828283,252,4,4
0.838384,252,4,4
0.848485,252,4,4
0.858586,252,4,4
0.868687,252,4,4
0.878788,252,4,4
0.888889,252,4,4
0.898990,252,4,4
0.909091,252,4,4
0.919192,252,4,4
0.929293,252,4,4
0.939394,252,4,4
0.949495,252,4,4
0.959596,252,4,4
0.969697,252,4,4
0.979798,252,4,4
0.989899,252,4,4
1.000000,252,4,4
